topic_id,name,description,n_emails,representative_emails
T012,0800 Report Emails,"Emails with the 0800 report spreadsheet attachments, typically sent daily as Excel files.",18,"[""2e041125db6ad028"", ""45edf662d87e2ac3"", ""5ff166ba6e241420"", ""c4c68a9b4675f3a9"", ""11524650b1d166c7""]"
T013,Fantasy Football Reports,Automated e-reports from CBS SportsLine for a fantasy football league named Evil Empire.,16,"[""1c3d1041d9966d4e"", ""1a2440cd86b41569"", ""7409b5c21d859e72"", ""85f9405c3ebb19bd"", ""dffb6cfd145df4ba""]"
T014,0700 Daily Reports,Emails with the subject 0700 Report and attached Excel spreadsheets containing dated daily report files.,13,"[""437b783f19eba669"", ""e53d6470b0d2b78e"", ""93f468bd35a88a22"", ""2dc6c95ce65717c1"", ""3c7090deed388ba2""]"
T015,Power Credit Watchlist,"Periodic updates to the power credit watch list, distributed to traders and staff, noting changes in credit status for various entities.",53,"[""8069c1f080555c96"", ""2a962e3890c59769"", ""4541f8176a5943bd"", ""e8cf43e3e178c4b6"", ""ecdb18638d19bf8e""]"
T016,Houston Weather Forecasts,"Emails containing automated daily weather forecast updates for Houston, TX, typically addressed to Mike.",20,"[""d8962b4636e30011"", ""512a5e5c36876373"", ""cf445689ff388c8f"", ""3e82571ef949196e"", ""ea4ae7ab665297aa""]"
T017,1500 Report Distribution,"Emails containing the 1500 Report spreadsheet as an attachment, usually with date‑stamped filenames.",14,"[""ef730c82aedb8103"", ""8b21066117262f84"", ""3fad7a4d9e04ff2b"", ""6b19373666350242"", ""19ae1401caee068f""]"
T018,CATS Litigation,"Enron legal team communications regarding the CATS litigation case in UK courts, expressing frustration over the outcome and discussing court proceedings.",16,"[""da3d92f3f322687e"", ""f375a31363d3a8fa"", ""7307f6c90cc2fb9c"", ""a2fa3d2a785b4f4d"", ""c07c8f83ea58dc02""]"
T019,Yahoo Breaking News,"A collection of Yahoo! breaking news alerts reporting on diverse topics such as crime, politics, international events, and economic indicators.",42,"[""a4c484d2d1d63a23"", ""589c90e20b2af1ae"", ""2ddc922ca47a6734"", ""741903a939a294f1"", ""3caa842e913e1c6b""]"
T020,Match.com Dating,"Online dating communications through Match.com, including profile exchanges, responses to personal ads, and related personal conversations.",115,"[""4a9526eb62453c21"", ""9355172f8e49c1cf"", ""8cda6a6ac77eb4c1"", ""f98877fb7c9c624b"", ""cbeebe9965c10b92""]"
T021,1600 Report Emails,"Emails containing the 1600 Report spreadsheet attachments, often with date references.",15,"[""8d075124314dd285"", ""567a352f3a654adc"", ""c55426ea3aa2ff59"", ""51823269dc0b211a"", ""936bd321381cadca""]"
T022,Kudlow Commentary Alerts,Automated subscriber notifications about new financial commentaries and 'Kudlow's Take' published on Kudlow.com.,34,"[""ab8d1a18bd516b4d"", ""59c77c67572c15bc"", ""1447ea3b8dd7253d"", ""334b3228b538e31c"", ""ada90fcdd5abb3f2""]"
T023,TRV Report Notifications,Automated notifications indicating that the NG - PROPT P/L financial report has been published on the website.,67,"[""37c898b87506a43e"", ""74b6da1e42932954"", ""dd38a9d09f569e26"", ""6e6b8cb1b618e154"", ""5c7a0732a5ec277d""]"
T024,Task Assignment Tracking,This topic covers internal task assignments and their completion status for various operational activities.,113,"[""208d34ae36866a59"", ""d03bfefd93ec50bb"", ""cc1076520f96b3f4"", ""01e1eac105244dc0"", ""c8437bff2651c7a8""]"
T025,Fantasy Football Reports,Automated email notifications from CBS SportsLine.com delivering fantasy football league updates for the Big E league.,28,"[""eb86964822d1b1c3"", ""4e1961f694aa684f"", ""5e28f4b9e97cd4d2"", ""b0093582d61fe3ed"", ""8e5ddf833739ae3b""]"
T026,Oasis Dairy Judgment,Internal communications regarding the summary judgment granted to Enron against Oasis Dairy Farms for unpaid transport bills and follow-up on collection efforts.,12,"[""35469aad35c0eace"", ""5ab2e927e076f175"", ""0923a00fdc318287"", ""0abad76cf64ff5ae"", ""124d017fc9dc0237""]"
T027,Playful Banter,"Informal, playful email exchanges between two individuals featuring teasing, personal remarks, and discussion of truth.",46,"[""6afc36c07fb95539"", ""61085e2fec120790"", ""2d1a8dc2b82ddcf9"", ""8f02547858e78b32"", ""f4d624e77fead91a""]"
T028,Downtown Club Events,"Promotional emails from The Downtown Club announcing membership events, holiday parties, special initiation fee offers, and spa gift incentives.",19,"[""acf64f787222b9d1"", ""d95258d181b57f77"", ""a82f42ef8e97c5b3"", ""994dd8983ec29e06"", ""8ab18d534e6ef679""]"
T029,Mailbox Size Limit Warnings,Automated alerts notifying users that their mailbox is approaching or exceeding the storage size limit.,28,"[""3e6115e13ce6d6d4"", ""3da640657b5abea5"", ""d8d3922dd115a68d"", ""975e280e58e03cd0"", ""763a746fc5b62ed9""]"
T030,Mailbox Size Warning,Automated notifications informing users that their mailbox is approaching its storage limit.,12,"[""78a8a97c07ab9d4b"", ""a768083ccc289f5a"", ""59087ab4bff5ff69"", ""059ffa170a4b43dc"", ""98b1a8654cc7a168""]"
T031,Mailbox Size Warning,Automated alerts notifying users that their mailbox is approaching its storage limit.,15,"[""25b20fbdf47046dd"", ""e51b0ba0f0cf62fe"", ""fdabe278c95f3bcf"", ""55ce8fcd68557cdb"", ""8ceaab74265e1259""]"
T032,NG Price P/L Report Notifications,Automated alerts that the natural gas price profit/loss report has been published on the internal website for a specific date.,32,"[""baf1bd3b5731078a"", ""171ad87897d4aaa0"", ""731f08fb93a96a50"", ""27421b0a4371c5d2"", ""527a5ee3bf1ca4c1""]"
T033,NG Price P/L Notifications,Automated notifications indicating that the Natural Gas Price Profit/Loss report has been published on the internal website.,12,"[""9019faf1f8abfce6"", ""9bd673142f358090"", ""5c05ec5cfa20232d"", ""6e694c69eb2db886"", ""074e10c166b00392""]"
T034,Reliant eBill Notifications,"Automated messages from Reliant Energy's eBill service confirming bill payments, providing statements, and reminding users of automatic payment options.",16,"[""48a554d94acafc67"", ""7acb00f282b7e18f"", ""0bc1d1ea62a87f2c"", ""24f53f2eae25d2fa"", ""4e9dad10dd3a1915""]"
T035,Mailbox Size Warning,Automated alerts notifying users that their mailbox is approaching its storage limit.,18,"[""2fee2556190cbef1"", ""95bd8830297264f8"", ""6704b138702d0232"", ""143f2f2b46ea9121"", ""da1a5a66a457a27f""]"
T036,Mailbox Size Warning,Automated notifications informing users that their mailbox is approaching the size limit.,16,"[""12f22b3f6564407d"", ""9db0c313df1378e0"", ""2c215228ae9e4a5e"", ""1ccad92e215f44ad"", ""472e256a671c54a3""]"
T037,Mailbox Space Access,Automated notifications about pending or overdue approvals for additional mailbox space requests in the Enron IT system.,33,"[""ce16ada272f6f02a"", ""dc8681120ada65d3"", ""5d1e4358ad14748d"", ""93024f0c0926a7b3"", ""746ab2bbe6433132""]"
T038,ERV Report Notifications,Automated notifications informing recipients that the DPR - Concentration report has been published on the Enron ERV website.,19,"[""926cdff5d8b1d4ed"", ""948ae50b9a70d112"", ""80a1d0d41447652c"", ""bc4c672570f1ae51"", ""42b84f639d20f9c1""]"
T039,CAISO ATC Final Comp,Emails contain daily URLs to CAISO's final Available Transfer Capability (ATC) computation reports for specific dates.,17,"[""484dddacbfba7674"", ""512bd3dd1a4fc040"", ""0f5ec54af6a7222e"", ""f1c020ad549c2e32"", ""367cec436e7612ff""]"
T040,Transmission Reservation Confirmations,"Automated notifications confirming the status of firm, point-to-point transmission service reservations for a specific path and capacity.",37,"[""3b5fe1a35b412ace"", ""162eb9ccea9beefe"", ""d9fbeddfcbfb6513"", ""b7611c7be3ac16b0"", ""02e73a704a10e242""]"
T041,Daily Market Summaries,Emails providing daily market index performance data and promotional trading product offers from INO.com.,70,"[""cc762b1b06558e95"", ""b9f671b059ffce2d"", ""ff4fa15fc0b876e9"", ""bde0e154bac037e7"", ""8b271c1136f5e570""]"
T042,Market Update Emails,Promotional emails from INO.com offering daily or weekly summaries of market indices and trading advice.,16,"[""d79c7f7392058dbb"", ""19e29203220a588d"", ""c002feb8d921706b"", ""7dba79de6c52ec0a"", ""99d31ad9a3402b04""]"
T043,Planters Football Promo,Promotional emails encouraging recipients to challenge friends to play the online Planters Crunch Time Football game.,10,"[""d8004b2f2a14d74a"", ""4a47338746735ff5"", ""8eecbf84e66678f4"", ""9afee1b04675b179"", ""0591cf464bab4a2f""]"
T044,GTSA Exhibit Confirmation,This topic covers notifications and instructions for confirming Gas Transportation Service Agreement (GTSA) exhibits via PG&E's InsideTracc system.,15,"[""bec03be507864d33"", ""b50b8e0ee25de48d"", ""909bfee1c279fc93"", ""4e5b8018884f5692"", ""cc806479c36b3aac""]"
T045,Btu Weekly Newsletter,"Repeated Btu Weekly newsletter emails forwarded by Vince J Kaminski, each containing an attached PDF issue.",13,"[""a648ed93c740e662"", ""cf617482a46a8a93"", ""db8a13f53884c736"", ""1c4714e07dda6a93"", ""69704fb280797688""]"
T046,Neural Network Discussions,"Internal communications coordinating meetings and discussions about neural network model development, parameters, and implementation at Enron.",17,"[""20a875fc0d6ac877"", ""0fb68e904750f6af"", ""958e681c80bd99ca"", ""8e05d9d70accfb4b"", ""caee2ccd6a529a69""]"
T047,NYMEX Give-Up Rule,"The emails discuss the implementation of NYMEX Rule 9.11A regarding give-up trades, which took effect on June 1, 2001.",12,"[""2cb7b1334049b34d"", ""583520a55e21f534"", ""1d497459c71d2f65"", ""1be40a01948ac447"", ""b68e54d56fb884a7""]"
T048,Rejected Nomination Notices,Automated notifications of late or pending nominations that were rejected due to pipeline capacity constraints or pool imbalances.,13,"[""e88694a8e9115a97"", ""f945d08db97d5b1a"", ""8e06af98045aff4c"", ""75bbf836102a48c1"", ""20596aee9782f5dd""]"
T049,Mailbox Size Warning,Automated messages notifying users that their mailbox is approaching its size limit.,45,"[""67e3a8cbe8e382a4"", ""1c5120c41aa24cfd"", ""365ef772383335ba"", ""e4eb4c3663061a67"", ""e9ee7d305a0b510c""]"
T050,Attorney Consultation,Arranging meetings and sharing contact information for legal consultations with attorney George Rustay.,14,"[""6642b470c252eef1"", ""59c00d707b3ed5fd"", ""9edd568e575e5bd5"", ""463f46a2bb02506c"", ""f190b853bbd5963c""]"
T051,Report Availability Notifications,Automated notifications informing recipients that internal Enron position reports and graphs are available on the corporate website.,31,"[""6b24488420f4c8e0"", ""6a7b5c65387d63d4"", ""ea1a3797f6e59525"", ""a5c8e53058c213c3"", ""377f487ff7a62f03""]"
T052,Reservation Status Updates,Automated messages confirming transmission service reservation status changes for a seller-customer pair.,42,"[""a183b89f260aeaed"", ""54e03e83a391636a"", ""036ec820215d07b0"", ""3f782ecd0488b0f3"", ""5da3a441d8b4b983""]"
T053,Mailbox Size Warning,Automated notifications informing users that their mailbox is approaching the size limit.,12,"[""52ab4d4db4919a62"", ""f582a612094d705f"", ""5aaae550b9f878ae"", ""e7e94b97747a05fd"", ""a60e2b8da07a9b35""]"
T054,Mailbox Size Warning,Automated alerts notifying users that their mailbox is approaching its storage limit.,12,"[""73c89174575a6be7"", ""0e8ac7578a4637c9"", ""af86f2200f5165d6"", ""4002df70ab95b075"", ""579574f9f361856a""]"
T055,NEON Discussion Planning,"Emails about organizing weekly NEON discussion sessions, including topic suggestions and handouts.",19,"[""f0273df9cdeb287a"", ""789df461df7d79f5"", ""01a243618acb2b00"", ""0c74a69d66b171cb"", ""ed7178ae95324347""]"
T056,Synchronization Logs,"Records of automated mailbox synchronization events showing folder syncing, item additions, deletions, and read-state updates.",26,"[""259ba9735add129b"", ""3598ae6c74070e04"", ""b3ea17c5a737103d"", ""828acc111cd25d48"", ""e0e1969199ce19e7""]"
T057,Synchronization Logs,"These messages record automated synchronization activity for a user's mailbox, detailing items added, deleted, or updated across folders.",56,"[""e17cbe1bddfcac4b"", ""6afbbd9f2826b996"", ""f119768a5ee8ea79"", ""1553aec74059f526"", ""9bb958e96d978a49""]"
T058,Transstatus SPP Updates,Automated system responses reporting the confirmation or queue status of SPP transaction requests.,11,"[""c10cb04e94e9b883"", ""6592dd71285df12a"", ""91048a7c36328216"", ""3b5a056205133c3c"", ""f1e4ed743e260ffc""]"
T059,Retail Risk Conference,"Promotional emails for a conference on managing risks in retail operations, especially energy commodity retailing.",12,"[""205a09438acd3659"", ""4caea5d435790e2e"", ""d7bf226050f9266e"", ""3d4173b52d1b1043"", ""f152d442a9aa532f""]"
T060,Fantasy Football Reports,"Automated commissioner reports for fantasy football leagues containing league standings, updates, and promotional offers from CBS SportsLine.",40,"[""976af117a87d78c5"", ""5931095a65503223"", ""605dd3a33b180afd"", ""68fe4fbbe4fa4820"", ""b110b393ce5d26e9""]"
T061,East Position Totals,Automated notifications and distribution of the East Position Totals report summarizing regional trading positions.,24,"[""e57164709896add6"", ""255ff294512b7713"", ""09c3d86acad6467c"", ""0c2e997c07f9bee2"", ""95738f1f820b18b2""]"
T062,SAP AP Payment Proposals,Automated distribution of SAP accounts payable payment proposals to business units for review and approval.,34,"[""5e462819abedb053"", ""b2a7c532650896ae"", ""749a0e9b0b2bf6dd"", ""ed648d3291a58b8d"", ""6c7a84d775e1926f""]"
T063,Southpoint Gas Model,Repeated forwarding of the Southpoint gas model spreadsheet from Peter Melera (Calpine) to Enron's West Real Time Group.,12,"[""a4e54a656e137210"", ""1400e0fa2d7023b7"", ""1665d54e1445abc1"", ""709a56c50f8067c0"", ""f8c9a79aa307fd42""]"
T064,Fantasy League Promotions,Automated promotional emails from Commissioner.com notifying fantasy football league participants of sports-related offers such as Anna Kournikova calendars and Sporting News subscriptions.,36,"[""4cfc8da620d275f6"", ""e684121e862a0dfc"", ""99806ace266a122d"", ""678b45c3c292b276"", ""af186e8e8a8f53dc""]"
T065,Fantasy Football E-Reports,These messages are automated commissioner reports for CBS SportsLine fantasy football leagues.,27,"[""b74423d416b09fd2"", ""e6af6965cbf1652c"", ""6192dc76b22de5fc"", ""f92fa760300503bd"", ""b29fb2b77cb6ed8d""]"
T066,Columbia Pipeline Reductions,"The emails report daily changes in nominated, working, and confirmed capacity on the Columbia pipeline for Enron North America.",23,"[""f79e2cda9ee83c60"", ""0d7f094fc8ed5ec1"", ""5dd995c0b2184572"", ""bec6fcd9d02d8e9a"", ""3c18fea12c2ea50b""]"
T067,Priceline Hotel Offers,Automated notifications confirming hotel booking requests and promoting free long-distance minutes.,12,"[""011f7f71d243adfe"", ""79270213353d897a"", ""b7b27bde4b68d7cc"", ""61b8af7d4d03f15c"", ""b2a8969ba110d8c0""]"
T068,Reservation Status Updates,"These emails notify recipients that a transmission service reservation has been received, including assignment details, capacity, path, and service parameters.",45,"[""520732f8400af2cb"", ""b0efc93f3b005c57"", ""eae038695c7c43e4"", ""c05034ff91ac8ddc"", ""3ec9a2efd8c0a53c""]"
T069,Reservation Status Updates,"The emails inform recipients of changes in reservation status for transmission capacity assignments, indicating whether requests were received or refused, and include details such as capacity, points of receipt/delivery, and service class.",46,"[""d347180087fc96f9"", ""d730ea405355a08f"", ""50699d32b266853d"", ""9dda436fc346d41e"", ""e276aceaeafa4b00""]"
T070,1300 Report Distribution,"Emails delivering the daily 1300 Report as an Excel attachment, often including a promotional link.",14,"[""eba43348b9072dba"", ""a9edbf7c37872734"", ""5677e8bdf5bc6e93"", ""41323b26bf628744"", ""b804ca28a6e8788a""]"
T071,Photo sharing,"Emails in this cluster involve forwarding or requesting information about various photos, such as a forest fire picture, an alfalfa field, and other images.",13,"[""455921d32edb9343"", ""685a7ff73e830c33"", ""888d99625bf38a31"", ""ab04db8e085bebf3"", ""b53e5945219c719c""]"
T072,1200 Report Distribution,"Emails that include the 1200 Report Excel attachments, typically with date-labeled subjects.",17,"[""29f18704d3ba60b3"", ""0ad6abe87c0357ba"", ""f7a75feb6f5b3d8c"", ""b48f5d57a2eb5e30"", ""d0812a0e952d6061""]"
T073,UK Crude Oil Transaction Request,Internal emails discussing the approval and feasibility of Utilicorp United's request to transact UK crude and oil products.,10,"[""23d85ecbb4a9d686"", ""6ef00de45f7987b6"", ""e91a2a3ebba6f694"", ""afb105ae31a27efc"", ""e8851176474ca18a""]"
T074,CE P/L Report Notifications,Automated alerts notifying recipients that the Central (CE) profit and loss report has been published on the internal website.,47,"[""e79755983ee45e81"", ""2714bfad85d1684f"", ""9737ee4fd96716c1"", ""18e52bcc94a12403"", ""6fa90615dd9bb608""]"
T075,Paper Toaster Negotiation,A humorous email thread about a fictional negotiation over a toaster and paper supply.,14,"[""971e7465fb16b993"", ""80335704234ac53b"", ""a0cd87afbac7ff04"", ""aae0eb0ae661b4a6"", ""5ab54b41fa13b5cb""]"
T076,NJ Democratic Gubernatorial Campaign,"The cluster focuses on the 2001 New Jersey gubernatorial campaign of Democrat Jim McGreevey, covering debates, policy priorities such as healthcare, education, and gun safety, and endorsements from various groups.",19,"[""e734087552b63072"", ""69aca7a1216d5653"", ""b957c5318e940896"", ""7d835ea2b0247139"", ""9629fdffba46bc1e""]"
T077,1000 Report Distribution,Emails containing the 1000 Report Excel attachments sent on various dates.,15,"[""035f0c058dea3dd3"", ""bc4b26a24fac693d"", ""46f992dd62dcb9a8"", ""1f46bfe05b3ae7ee"", ""94d062fbbe64b6bb""]"
T078,1100 Report Distribution,"Emails containing the 1100 Report Excel attachments, typically with dates in the subject line.",16,"[""2586f59272a50009"", ""2c9ac58d4e049020"", ""4ff9a8318b6b78ba"", ""48fca6ccd3257976"", ""0373a2a330764c83""]"
T079,Palm Device Support,"This topic covers registration, accessories, and technical support for Palm handheld devices.",22,"[""535f123792dee0de"", ""1925660bac29abff"", ""c312fe948d27c687"", ""c37881ee58a4f13f"", ""a96284e4f7b00621""]"
T080,Btu Weekly Power Report,Distribution of Btu's weekly power report newsletters forwarded to Enron personnel.,41,"[""2671e672c307de45"", ""84beb5d620381bb9"", ""8e63b2b6bb5537f9"", ""267ed1b1c92a5b02"", ""4d19464bc606e25c""]"
T081,Btu Weekly Distribution,The cluster consists of emails forwarding the Btu Weekly newsletter to Vince J Kaminski.,28,"[""1d6c3aac267a084b"", ""2032d6fcc6b32985"", ""1ff1f5b86a1fbde3"", ""dc61ea423d41542b"", ""166aeeb688f3cb0f""]"
T082,Regional Outage Reports,Distribution of periodic regional outage reports from Jerry Graves for review and feedback.,23,"[""c55ba3de42aeaaaf"", ""7bb79f6ca5fa2655"", ""d5e182e9b2dcf4de"", ""85f047daeab61348"", ""d92fb21afa0d0a80""]"
T083,Violation Memo Notifications,Automated ERV system notifications informing recipients that a Violation/Notification Memo report has been published on Enron's internal website.,38,"[""eba9f00dfa79014c"", ""703395ce0005c2c3"", ""208b10f72e60587e"", ""2364ec324553b8eb"", ""a4a02ab6f8a24486""]"
T084,ERV Violation Notifications,Automated notifications from Enron's ERV system announcing the availability of Violation/Notification memos on specific dates.,11,"[""349abdc69395b491"", ""f0dda53d5d1cc484"", ""d419598744b3690d"", ""1674096b36a0ccba"", ""de7e793aa68d4dd3""]"
T085,Canadian Credit Watch,"Distribution of periodic Canadian Credit Watch List reports to relevant personnel, with contact details for additions or errors.",28,"[""30bbfca7bcff6175"", ""05f9918c57c86c90"", ""c5cc204dc5ab7b18"", ""13785472db2475c9"", ""ff9807ac5fd54a25""]"
T086,US Trading Preview,"Daily emails providing forex market analysis, exchange rate updates, and interest rate data for major currencies.",47,"[""e456160df56a1955"", ""fbdd2fcd1ea827ec"", ""d7fe6282018c4ccf"", ""de774e1138210027"", ""d55da387938c325e""]"
T087,Japanese Forex & Credit,"The cluster focuses on Japanese forex trading previews, interest rate comparisons, and credit spread analysis between Japan and other markets.",51,"[""a14d5e457b090457"", ""73f88c3cfc5607e3"", ""1153907996683539"", ""a26bc004e2a73901"", ""34aca073e83414ea""]"
T088,Credit Watch Distribution,Emails distributing revised Credit Watch lists to personnel and providing contact information for updates.,24,"[""16bc2a47d84daf46"", ""de8c476f0ea4ab0a"", ""779576dc37bde23c"", ""465ca913c4ec2155"", ""4ff2a57e5e2ec9e2""]"
T089,Credit Watch List,"Periodic notifications of the Credit Watch list, informing staff of new additions, removals, and changes to trading restrictions.",59,"[""fe271c04e844693d"", ""c48bdddf99eef179"", ""8c3891e4eaaf9cc0"", ""941d5865c3153444"", ""a9db19a93877f10d""]"
T090,Beauty Product Orders,"This topic involves communications about ordering, purchasing, and delivering personal care and beauty products such as makeup and skincare items.",15,"[""99be098e96707309"", ""f6ceb7a4e171088e"", ""bbdb5485b4ac02df"", ""9dcb0d33fcfe1f15"", ""ad66c6a8bc2343a1""]"
T091,Mad Cow Jokes,This topic comprises forwarded jokes and humorous content about mad cow disease shared among Enron employees.,68,"[""f5eb2b24f2ae19c0"", ""63e4327ad31aabda"", ""48d5bea6eb2c71a2"", ""c05642e8c7eac8c4"", ""1cd9d0077f442704""]"
T092,Syncrasy Daily Summaries,"Emails from Syncrasy, LLC containing daily trader summaries and summer promotional content.",10,"[""4fc8efb9c156b19a"", ""0a683ba815f33e53"", ""59ee566ef2e64150"", ""06ca2870e26cc2ef"", ""f614f3ddfd5e8978""]"
T093,Election Parody Emails,"The emails are forwarded messages featuring a political parody about election concession and retraction, with audio content, shared among Enron employees.",12,"[""a1e3bc23871d91da"", ""09767a6c61e7a87e"", ""03f0983589bcf763"", ""2b6ea9ebe3ca9894"", ""c9fdbe4169a61be9""]"
T094,Fantasy Football Newsletter,"Emails from CBS SportsLine.com's weekly fantasy football newsletter offering news, tips, and player updates.",15,"[""006f5de8849b388d"", ""9318cd797cab631d"", ""b8b93f9c02564914"", ""843e14836d1aa8a7"", ""57f809c44edb7fdf""]"
T095,Power Industry Directories,"Emails promoting and sharing directories, websites, and contact resources for the U.S. power and utility industry.",15,"[""8fcf61d0273dc1c4"", ""f2250279d3a69964"", ""5e754c25f1c5fcc3"", ""049cb27c34c54704"", ""6157dc05f9e07ee1""]"
T096,CCT VAR Reporting,"Emails transmitting periodic CCT variable risk metrics for aggregated management portfolios across coal, credit, gas, and power sectors.",13,"[""fe523ef09929e302"", ""95d87b1e6dea264c"", ""1c2c89f4f32c2e95"", ""d69172a7eb204b1a"", ""197d7742511d89fd""]"
T097,Temp Worker Evaluations,Requests for performance feedback and ratings on temporary or substitute workers using a standardized evaluation scale.,36,"[""c4bc9d36be95b45f"", ""94dd4fe80dc1220f"", ""edd1a04732c4734e"", ""d1d1c06592acd986"", ""c4f0722ff5b0e698""]"
T098,Contact Lens Reorder,"Promotional emails offering easy online reordering of contact lenses, accompanied by a legislative alert supporting prescription release rights.",13,"[""455851b70ee86f0c"", ""7a0d8add673b9d78"", ""d5272d877f34ebdd"", ""6eda60445bdb3cc3"", ""3b5d1f6b228882d9""]"
T099,LNG Voyage Reports,"Routine operational messages from the LNG carrier Hoegh Galleon, including position reports, anchorage notifications, and bunker consumption updates.",89,"[""2ef3a798339e3fd7"", ""274386b0395114a1"", ""3cf31b359a5411e4"", ""823f0d6dda0c0105"", ""39ce80eb8c59b15e""]"
T100,Daily Position Reports,"These emails contain daily position reports from the vessel Hoegh Galleon, including location, distance traveled, weather conditions, speed, and fuel consumption.",23,"[""03ecb03dc5e026db"", ""1fdd6f816c9cd5b8"", ""04c33daf7259fb10"", ""221120e1d6944145"", ""21a97c0e727e0b5f""]"
T101,Platinum Options Expiration,NYMEX operational notices outlining procedures for the expiration of Platinum options contracts.,11,"[""f6233504ba4e7af1"", ""b63834534dd19bde"", ""d53b7f0711e0e7f4"", ""754e93bd071f8fcc"", ""c910adb36dd76ce4""]"
T102,Expense Report Approval,Notifications about expense reports that have been waiting for manager approval for several days.,12,"[""e1abc84a1de32bf2"", ""83c8b3d379567ad4"", ""ec6f9ebbb2ed7b0f"", ""4a874332bc987c42"", ""05f7f61a6999259b""]"
T103,Energy Trading Seminars,"Promotional emails announcing upcoming public seminars on energy derivatives, electric power trading, and gas-to-electricity arbitrage offered by PGS Energy Training.",14,"[""aad5f83b7a52076f"", ""6a38336e175dc7ee"", ""8e29bc28675d73ed"", ""5743f44d8fc6d3cd"", ""b255885a727c6790""]"
T104,CQG Application Support,"Technical support and user inquiries related to the CQG trading application, including layout restoration after upgrades, access requests, and usage questions.",29,"[""360f5a2ae259b2a5"", ""270f68abd159c3d1"", ""f63e5da0ed72ec98"", ""131498ccc350a585"", ""a39f94c8cad1d40f""]"
T105,WorldCom Calling Card,Internal communications about confirming receipt or cancellation of WorldCom calling cards.,23,"[""1a7d8648fe601e77"", ""34627cdfd83e1dc2"", ""f88994b7d3f0fc5c"", ""7f660e7962faa1fb"", ""306e77a1765d4910""]"
