project_id,name,description,n_emails,representative_emails
P020,Cow Analogy for Economy,This project uses cows as an analogy to explain how economies progress and compare to each other.,78,"[""59d149f1d9865e40"", ""42ff737b271d0fbf"", ""e5ca5ddb49cbae45"", ""f9bf39524c67fbdb"", ""db0dc8b26ff02f31""]"
P021,Vessel Voyage Tracking,"The project tracks and reports the vessel's position, fuel consumption, and estimated arrival times during its voyages.",114,"[""257cc877d809f4dd"", ""3574acd5853a4f9c"", ""4e253095f69496c0"", ""bf9bf39629eb1ce9"", ""6e736e34deab7d34""]"
P022,OnePass Email Promotions,A collection of marketing emails promoting Continental Airlines OnePass loyalty program travel deals and fare sales.,147,"[""5d168d5ca110f02c"", ""a54382304ee13bf0"", ""bc645b7468e00653"", ""868722286b23e98b"", ""d7f40e83ac8ed53a""]"
P023,Carlton Deal Reporting,"Tracks and reports year-to-date power trading deals and resolutions for Enron's Midwest Origination team, including the Carlton resolution and EMC Walton deal.",145,"[""65cbb0ad65304cba"", ""5ac171d277d51f79"", ""e26557a64a887abb"", ""a3c1785c80aa43f1"", ""22d00c1a2e74052f""]"
P024,Rigzone Daily News,The project aggregates and distributes daily upstream oil and gas industry news via email newsletters.,51,"[""32cab56c2a7004c6"", ""01d971128b6e92a7"", ""28b9bb673df3201b"", ""0c0918e4b6151eab"", ""cf189970a54e4e14""]"
P025,Mafia Joke Exchange,This project groups emails between Enron employees that contain jokes about Italian mafia and making family members disappear.,747,"[""5e48189148fdea8f"", ""eb77658b4cba10cc"", ""443008337a5c1bb0"", ""9dce7b2aa001055d"", ""7f33a8f7981caaeb""]"
P026,Rigzone Daily News,A daily newsletter delivering upstream oil and gas industry news to subscribers.,109,"[""ff5ae63a12c986f1"", ""3a0ac1867b64d0a5"", ""2bc2487119f568bf"", ""8496d8afed026b20"", ""b63715f979e30f2e""]"
P027,Expense Report Approval,This project tracks and manages the approval workflow for employee expense reports.,84,"[""3c8d0e0be61077aa"", ""ff3a3b825723dac8"", ""9696fdd7a30247c8"", ""9fc86fa421085847"", ""990dfc201c8386be""]"
P028,Outage Tracking Service,"Automated daily delivery of outage updates for non-WSCC locations, capturing transaction and fulfillment data for monitoring.",62,"[""5c5f03c5a45e2f98"", ""aca4956e585dc44b"", ""8751ad5fe35e1949"", ""b098ce408734cde6"", ""66048e587d98a862""]"
P029,Expense Report Automation,Automated tracking and approval of employee expense reports across various categories using Concur.,76,"[""c1f70a44ba4a29d0"", ""8da733f5ce7a222a"", ""968d4efaeff0ba27"", ""33800d52626407b4"", ""f3aecd90138c1a26""]"
P030,Palm Product Marketing,"Promotional email campaign offering Palm handheld devices, accessories, software upgrades, and warranty extensions to employees.",78,"[""03e40a4f917c6e61"", ""46f3a81ca054f810"", ""266003c8c8f07e64"", ""506284c81b93653b"", ""d2c49d7844d868e8""]"
P031,Expense Report Automation,Automates employee expense report submission and approval via the Concur Expense platform.,243,"[""2212a28aca265533"", ""e462f4ab1ab3b3cd"", ""24fc74a804caf499"", ""2835de8e623a6ebb"", ""799aadd60751cebe""]"
P032,Expense Management System,Automated processing and notification of employee expense reports and payments via the Concur system.,114,"[""4ca136f800589330"", ""9a8cda99a731f4a1"", ""3d7fdadbbc8acba8"", ""94a528ca48ad0d1b"", ""4a886084e638911e""]"
P033,EOL Clickpaper Approvals,Process for approving credit requests for physical power trades in the West region under the WSPP agreement.,117,"[""9e49abf89a71f903"", ""785ca5fd40beeaa3"", ""6ce24dc20e21dffa"", ""0e0367c447ca160a"", ""61f85aead2d2c5fc""]"
P034,NYTimes Headlines,A daily email service that sends subscribers the top headlines from the New York Times.,168,"[""42650e00fb394a67"", ""eb07a50d302beb02"", ""4e67beeba30547b6"", ""6fed968d36c5f972"", ""720917ef78c87229""]"
P035,Marketplace Meditations,A weekly email series delivering Christian devotional messages to employees.,84,"[""542c6789eb6cb8d8"", ""4f22cae384d1eee3"", ""64581ab7f7c67de5"", ""d3ece05c0bd6962a"", ""25ebf73d04ab5706""]"
P036,EOL Credit Responses,A process for handling and distributing credit responses for end-of-life trades at Enron.,58,"[""15596055c62e56b2"", ""20a3ae77f044fce8"", ""0e9bcb2bcdece2a5"", ""b1a212b59454fd29"", ""c4559e41e28bf1a9""]"
P037,Enron Trading Performance,"The project monitors and reports Enron's trading execution rates, transaction volumes, notional values, and revenue from physical flows across EnronOnline and related platforms.",111,"[""e9c1554bc4aa48bb"", ""dec369f6167c9e3e"", ""603072c6a50ee89d"", ""76056fc0a54182b4"", ""0b88b2a9510c9e6b""]"
P038,NYTimes Daily Headlines,A service that sends daily New York Times headline digests to recipients via email.,88,"[""1055ce4e4b8dc2be"", ""3cb1b71aaaac0046"", ""9d6413733ff31209"", ""e447dba5608ad7c5"", ""c74581c0c4a471f4""]"
P039,Oil & Gas Newsletter,A project that aggregates and distributes oil and gas industry news and promotional offers via email newsletters.,122,"[""06c4e36b9007d30a"", ""a001f9cb01960b15"", ""2f1da97ff7a8ea08"", ""bef389dfc06e39a6"", ""418a767c40429e0b""]"
P040,EEI Contract Management,"The project manages the intake, distribution to legal and credit, and Livelink archival of executed EEI Master Power Purchase and Sale Agreements across multiple counterparties.",82,"[""2d0c034af159ebfd"", ""160a596d94b1bb67"", ""8890d8dc88d3d45d"", ""85c17d66fb0c15af"", ""c18c3ca57993d1e6""]"
P041,Invoice Approval Workflow,"The project streamlines invoice management and approval for remediation projects, handling coding and issue resolution through the iPayit system.",103,"[""3c465a878fe418d4"", ""37b48ad5bf1cebbf"", ""a391fa48daae0075"", ""71fef777e8f830ee"", ""15ff805d2b7a9bc6""]"
P042,Travelocity Fare Watcher,Automated email alerts notifying recipients of changes in airline fares across their tracked travel markets.,72,"[""b10868b639df5917"", ""3ac2a61d28164eb0"", ""bf004efba89c6097"", ""0267341300b8390f"", ""e203581efd6774c9""]"
P043,RIGZONE Daily News,A daily newsletter providing upstream oil and gas industry news and updates.,68,"[""291142295fbc6400"", ""2c55a63434f684da"", ""1d1250bc33d8f349"", ""a7ab7dac49dc1d6b"", ""f84b41923ad29a1a""]"
P044,Delivery Rules Amendments,The project focuses on amending delivery rules and position limits for COMEX and NYMEX metal and energy futures contracts.,101,"[""a800ceaa6d448615"", ""57737e5af433c06b"", ""26343970d95d0e1f"", ""1d92c6d794607e71"", ""0349bf42ba614e6b""]"
P045,Portfolio VAR Reporting,"Regular reporting of value-at-risk metrics for management portfolios across credit, gas, power, and coal asset classes.",61,"[""7d4c3760e8af5275"", ""3f94af8f17eda73a"", ""d6f18e93be5a01da"", ""962475a1498582da"", ""898288a3503753c9""]"
P046,Neil Anderson Devotionals,A series of daily devotional emails authored by Neil Anderson for Freedom in Christ Ministries that provide spiritual encouragement and biblical teaching.,56,"[""d3480c4356889095"", ""1bcc1bc47f7f67f3"", ""3b365056a574dd46"", ""536be2e358c3dbb2"", ""fd762d176a0fc76f""]"
P047,Personal Calendar Reminders,"A collection of calendar entries for personal appointments, reminders, and vacations organized by Stacey W White in 2001.",310,"[""6548f9b3c4274b2d"", ""b35269ce034f7087"", ""f7ac80276fda041b"", ""4d5cef5fd413e4b6"", ""44e55a411b61ab26""]"
P048,BNA Legal Newsletter Distribution,"Internal project to receive and forward BNA legal newsletters (Corporate Counsel Weekly, Antitrust & Trade Regulation Daily, Computer Technology Law Report) to Enron legal staff.",111,"[""8898f179d2a085bb"", ""d7c3941947f82663"", ""998ab9ebc45e9fb7"", ""515ae2f09d71c456"", ""e2685ae222cb3346""]"
P049,Energy Market Analysis,"A project focused on obtaining and distributing oil and gas market forecasts, industry reports, and pipeline studies from consulting firm PIRA to support Enron's energy trading operations.",105,"[""cd2d92af0f31b09e"", ""cb90b282dafc7a5c"", ""932e937f48ff1f73"", ""27930f26f76e0bd3"", ""420cc855ae9cd3d2""]"
P050,Personal Social Plans,"Informal coordination between Amanda Rybarski and Mike Maggi regarding babysitting, social outings, and personal check-ins.",313,"[""4556c30cbd04c681"", ""2ef8a8eba93094d7"", ""0a2db84535806d4d"", ""74d22923acc09259"", ""c6649059d8c84939""]"
P051,Access Request Management,The project automates the closure and notification of employee IT access requests across the organization.,118,"[""ee43b84387ad6f62"", ""0e3e78c2dfcd8d8d"", ""8c64dc2fb6ebe981"", ""b012b3af785f9274"", ""6e8f2d8f78539696""]"
P052,EES CA Schedule,"The project manages the creation and dissemination of daily California energy schedules for Enron Energy Services, coordinating load forecasting and ISO posting.",118,"[""bbfa0f71b3bf4277"", ""eecb34e69f786ccc"", ""87c8d0713e03d399"", ""72c2f8647dfd6dd3"", ""4043f4039415a9cf""]"
P053,Enron-Kiodex Partnership,A co-marketing partnership involving Enron's equity investment in Kiodex to jointly market Kiodex's risk management technology to commodities markets.,52,"[""5b8df34751ade5c8"", ""db4381104777a366"", ""2dfa59edf8781998"", ""413eca7bb1fefc29"", ""611070bf04be680e""]"
P054,Cycling Club Events,Organizing Enron employee participation in cycling events and fundraising activities including the MS 150 bike ride and related charity initiatives.,99,"[""39fc21984d16e1b2"", ""d7dc16644d1f8121"", ""7b34e42678742d0b"", ""3dc557fdfc5bf832"", ""6646d625e345f175""]"
P055,Hawaii Danno C,"The project handled the closing documentation and ongoing administration of Enron's Hawaii 125-0 Danno C structured finance transaction, including total return swaps, put options, and related SPV agreements.",113,"[""c894f4e1096217f3"", ""573e16d3f3e92f97"", ""3f12615eade74cf1"", ""9586d07c43b40a7c"", ""942b9b39a216bd55""]"
P056,Outlook Migration,"The project migrated Enron's email system from IBM Lotus Notes to Microsoft Outlook 2000, using surveys to collect user information for a smooth migration.",55,"[""c03e3c7c349b729c"", ""2a2b0d28cf72f1d5"", ""a8ed4d33cea1b445"", ""938b5cfbf548f596"", ""8ed1e9ede5c7bb19""]"
P057,Pipeline Nomination Revisions,Coordinating updates to pipeline capacity nominations and availabilities across multiple Enron pipeline segments.,53,"[""90546e07e6d926df"", ""5e3f50102dc8f6b7"", ""9c4c46ef74bafe1a"", ""38f8d11590d719ff"", ""fa3b82f5ce94c0bb""]"
P058,HPL Nomination Management,The project tracks and manages daily natural gas nominations for Enron's Houston Pipeline (HPL) to coordinate supply and delivery with external partners.,76,"[""8bcf9634ea7a1691"", ""e46ea5e3100f9e12"", ""b146e90384455005"", ""c0e26a6cc83de7a8"", ""c88fd7e0848c0f0f""]"
P059,Mariner Audit Coordination,Coordinating quarterly audit committee meetings and distributing Mariner Energy management meeting minutes.,75,"[""5a2c8987d4b022d9"", ""97c04951d7164a87"", ""338c9ffb082e4d7d"", ""f1c7efae5b6cd505"", ""2d63f3d3cef893ec""]"
P060,Restructuring Today,Enron's internal distribution and receipt of the 'Restructuring Today' newsletter from U.S. Publishing Co.,97,"[""8b42a663ec2657da"", ""6a2e66283119107f"", ""932f018cdf00d57b"", ""e265e36ce70fcb7e"", ""fa6bb9b2ca34dc2b""]"
P061,Alumni Social Network,A platform for reconnecting school and military alumni through social networking features and member verification services.,67,"[""73b0de7df09b76e7"", ""6e9cf8acc14979c8"", ""ae020903d6528d67"", ""9c1aa26ebff25c4c"", ""f4d775a6796b60cd""]"
P062,LPG Terminal Management,"A project to coordinate LPG storage, borrowing, and terminal operations between EcoElectrica and ProCaribe under the LPG Storage and Services Agreement.",88,"[""533d9152f7169af9"", ""a93b97be69f234d6"", ""819567aa01c4d994"", ""e90504067ae079a4"", ""b940c2df9e3551a4""]"
P063,EnerFax Daily,A daily email service that provides subscribers with current natural gas futures and power market pricing information.,79,"[""3ae7e19b90498514"", ""98c98b0f2da18377"", ""0f84beab313ca96b"", ""5a34dd7b5171b8d1"", ""66efe0903837662d""]"
P064,Counterparty Name Overlay,Managing and implementing counterparty entity name changes in GCP by overlaying old names with new names across the system.,122,"[""18caa70cdb3956fd"", ""e5b6ce457b1dad31"", ""c00614552af17115"", ""217cca04c2bf9274"", ""568d316aa8789b16""]"
P065,Internet Daily,"A daily email alert that aggregates news about internet companies, e‑commerce trends, and web service innovations.",56,"[""80b121513f751b1c"", ""5b937758e9bf4096"", ""9fc72549ae4625ae"", ""dabdbcc38aebf2b7"", ""fecb73832ff48564""]"
P066,Forbes Daily,"A daily newsletter delivering business news, market insights, and special offers from Forbes.com.",64,"[""7134e292c26bff0c"", ""5e80b7567688bb49"", ""49a4fc82f50d5e2c"", ""c9bbc8959e8da9be"", ""f271e6275f16145c""]"
P067,Global Products Notification,A system to generate and distribute daily loss limit and profit & loss notifications for global commodity products.,115,"[""2e6245944c0755cf"", ""562932bc031321be"", ""50bd4faa3252c698"", ""76b1320c7009b81e"", ""7963a9a523158b7f""]"
P068,iBuyit Implementation,Implementation of Enron's online procurement and accounts payable system to track vendor expenses and costs.,101,"[""b078839224e18eaa"", ""eb9c58fdbf10ede8"", ""d67e5aaefb5a84e4"", ""f5265f85fd683c87"", ""61be83bf50a8a071""]"
P069,Southern Trails Pipeline,Questar's project to convert the Southern Trails crude oil pipeline acquired from ARCO into a natural gas transmission system spanning 693 miles at an estimated cost of $155 million.,60,"[""59062c5bee1f5cd2"", ""986b8e5de518da9d"", ""f1bfe2329f30e4a3"", ""c01d2d99a64ab8b0"", ""547e1956ca948c0b""]"
P070,Schwab Market View,A collection of daily market view email alerts from Charles Schwab reporting U.S. equity index performance.,87,"[""83eafe7c9fbb501e"", ""b8274f8d70bc2d15"", ""c074cc379278c347"", ""8628f5dd5fdd3d54"", ""e70c9f4d6b82c9af""]"
P071,Employee Parking Benefits,"Managing employee parking arrangements, bus passes, and transportation reimbursements across Enron facilities including the World Trade Center and Enron Center.",140,"[""cbd0fd8997410857"", ""f1000515c4c7d3b8"", ""444ea8e3f3a3340d"", ""91314189a68dfcbb"", ""32879241560fc013""]"
P072,Monthly Activity Survey,A project to collect monthly data on producer services deals and staff hours for senior management reporting.,80,"[""f90a25aae3d98008"", ""9b2683db5e0d757f"", ""3fe9422242c38985"", ""bda8ba4c0f6da831"", ""5d67fb23b14684f4""]"
P073,Online Trading Platforms,"Marketing and account management communications for online stock trading platforms including Ameritrade, Scottrader, and E*Trade.",85,"[""d7b8c5a37a6c98fb"", ""93e2cffb16e88596"", ""c05cdacc32cd5b31"", ""a68da2f6b79e39a1"", ""7e2bc009428ad2de""]"
P074,FoolWatch Newsletter,"A series of email newsletters from The Motley Fool that delivers investment picks, market analysis, and financial news to subscribers.",321,"[""71635b0490428202"", ""a9e4bc55dedd43f8"", ""69cc47396ff9e3f6"", ""eb64e63431e99e47"", ""51c2c114383723b8""]"
P075,Daily Investment Newsletter,"A daily newsletter from Multex Investor providing curated equity research, sector analysis, and stock recommendations to subscribers.",55,"[""b5561ed950c967b8"", ""06232358a333e6bb"", ""88b75999be800c4a"", ""1d508e78f37626ee"", ""2f001b677914b61d""]"
P076,Erik's Travel Photos,"Organizing and scanning photographs for Erik's travel, including setting up a keg fridge for the event.",237,"[""4984fb8dfc1cd1cd"", ""2aedac83b199ad2b"", ""97e6e35b3a320a75"", ""60c6d844dc999656"", ""a425968c075c9934""]"
P077,ICE Partnership,Establishing business partnership and API integration with Intercontinental Exchange for energy trading platform connectivity.,92,"[""9df70a761e7fec48"", ""c6f60baf6e1bba59"", ""0865885878d1adc7"", ""bc36d5050b23ebcc"", ""1b5e947b03a0c101""]"
P078,Dynegy-ICE Volume Monitoring,This project monitors and reports Enron's trading volumes with Dynegy Direct and the Intercontinental Exchange (ICE) via regular volume reports.,52,"[""9c0f9c5318ba582a"", ""6ce3718cef8b1e0f"", ""1b1e52b9ce4ad25e"", ""122eaa41d6faabaf"", ""e42e59a94147a973""]"
P079,NYMEX Futures Launch,This project concerns the development and launch of new coal and Brent crude oil futures contracts at the New York Mercantile Exchange.,292,"[""7e5966b30403e01e"", ""37d4d4ac2636256a"", ""0709ec3220087c66"", ""7cbb10a02f9e7098"", ""e0e2e1e803a99a14""]"
P080,Options Expiration Procedures,Coordinating NYMEX operational procedures for the timely expiration of options contracts across various commodity markets.,66,"[""46253daedfe496cd"", ""d4bcc0296c6db9cd"", ""8f7286d06bfcc0e3"", ""a7578e4be518742d"", ""76b832d0959c3302""]"
P081,GC Succession Planning,"Coordinating the transition of Enron's NNG General Counsel role, including recruiting a replacement and setting the effective start date.",71,"[""666ae79fa01507f7"", ""33cffd5a809666e9"", ""61f7284ec9fb04c6"", ""613924bcf6b1aa9a"", ""635f304fd500bb5e""]"
P082,Pulp Market Analysis,"Development of a pulp and printing & writing industry presentation containing market facts, figures, and competitive analysis for internal review.",166,"[""57a4e04288d2a71d"", ""921e60b2515c9d1e"", ""d42d2ca9b587b06e"", ""cbe0f244f2bffa0b"", ""29fd6f9ef729be33""]"
P083,Forest Products News,"Tracks mergers, production output, and pulp stock movements across the global forest products industry.",138,"[""757e0aef1bd82452"", ""0b6673ee6f981dc3"", ""1da55892e0ba1664"", ""b5d7438bdc01553e"", ""5066de4fa488c052""]"
P084,GTV II Project,"Weekly status updates and development tracking for the GTV II trading system, including deal processing, viewing, and reporting capabilities.",92,"[""8694b877740c44ab"", ""0f723173a4582bbc"", ""01a68e3e55ca2790"", ""74e96f47d2365a31"", ""63ca9aabdba6e588""]"
P085,Legal Research Optimization,Evaluating and implementing legal research tools and resources to reduce outside counsel costs and improve in-house legal expertise.,62,"[""da82ca60ae2c51f5"", ""2f9abcac595bccc4"", ""2e8cb9f83ce54034"", ""8e779aa50d470383"", ""ec078b9ce417b63f""]"
P086,Stepenovitch Custody,Email thread discussing personal and co-parenting issues between Joe and Linda Stepenovitch regarding their child Payton.,64,"[""47fa8c31812109c9"", ""a09d6898c99ae718"", ""2235709485428045"", ""c2bd520409235a30"", ""20c9f60e0d07d450""]"
P087,Offsite Planning,Organizing an off-site team gathering with leisure activities such as golf and spa.,95,"[""5a6ee2172990a57a"", ""d2811eee247376d5"", ""2abe0408229e1f67"", ""13d819177b01af08"", ""584285923929bf42""]"
P088,EnPower EOL Reports,Generates daily reports of EnPower and EOL deal volumes and megawatt-hours for regional trading desks.,101,"[""163e7181c1aac6e1"", ""48d1ce0f295281ba"", ""df6724423de34d9c"", ""235e26859951d9e8"", ""16bc78d2bae873c6""]"
P089,Legal Admin Tasks,"This project covers routine administrative activities in Enron's legal department, such as work reports, overtime tracking, and office equipment management.",80,"[""4ca79dbc59ff88c5"", ""57ec268dec95c536"", ""05fb872f4bc7990c"", ""d19ed4e7904c170c"", ""419acdaf28337884""]"
P090,Wire Transfer Processing,"Processing and tracking daily wire transfer payments for power deliveries to Entergy and other counterparties, ensuring accurate reference numbers and timely execution.",133,"[""0a5800c89f0d4e4f"", ""ded5f0d6ec382ac5"", ""0c8493d664f87fe1"", ""5d967dbfba780fcf"", ""5f2589bb0327840d""]"
P091,Performance Evaluation Process,Enron's internal system for collecting and managing employee performance feedback during mid-year and year-end review periods.,129,"[""5673f0c1e818d9fa"", ""81441530ec17d793"", ""6512c90b061a6745"", ""4efa5d5c8de4197d"", ""3d737824331e9db4""]"
P092,Commissioner.com E‑Reports,A promotional email campaign for Commissioner.com's fantasy football e‑reports that advertises the Planters Crunch Time email football game and NFL memorabilia discounts.,127,"[""565a94aef5220b42"", ""fcc4cf72c74bbe32"", ""5131cea3e2f2bee0"", ""73f889da77ddbb5e"", ""48fdf67060c4c027""]"
P093,Energy Conference Watch,A newsletter that aggregates and distributes information about upcoming power industry conferences and events.,336,"[""999e994804a92da1"", ""57c6be805b14396c"", ""35c83bb160c1256f"", ""33c98e22b004daa1"", ""2e0dbd31a99f49bd""]"
P094,Fantasy Football E‑Reports,"Automated e‑reports for fantasy football league commissioners delivering league updates, scores, and promotional offers.",61,"[""2690d0fc6fb3747f"", ""3710ddf7d88dce1f"", ""53c8c657491f001d"", ""860b10c635117dcf"", ""8c05684c5fb1f8ee""]"
P095,Fantasy Football Reports,"Automated email reports sent to CBS SportsLine.com fantasy football players providing player news, updates, and promotional offers.",68,"[""34c56c405be60f80"", ""df535f983ac75344"", ""41707a24dc2a7f21"", ""460fb4317d6e778a"", ""93a8a0983171dee0""]"
P096,Energy Derivatives Seminars,"The project promotes and delivers training seminars and e‑newsletters on energy derivatives, electric power, and natural gas industry fundamentals.",70,"[""4e5c6d2ef347b3fe"", ""bd9bb5a8bf9d6b84"", ""93ad9ae2e362d508"", ""4de6318c25eb7c0b"", ""4d0a6161883c7853""]"
P097,Employee Training Enrollment,"Managing internal employee enrollment in Enron training courses, including sending enrollment reminders, handling registrations, and processing cancellations.",226,"[""fba6ed05efbceb34"", ""cc3f3b53319e4b84"", ""3c5289b6bc584ba4"", ""75f61fbac83753f9"", ""7194a2ab43c76052""]"
P098,Manager Training Program,"Internal Enron program coordinating leadership and management training courses, collecting participant feedback forms, and scheduling training sessions for managers.",86,"[""07c30a9c09bb6241"", ""f94caba36779bae5"", ""42293d49c9cdf2be"", ""c86f42edbc5be22e"", ""c146a7cacbf3927b""]"
P099,Virus Alert Management,"This project involves managing and distributing computer virus alerts, security advisories, and scanning procedures across the organization.",66,"[""3e10fa272701f128"", ""e9988fda09c64554"", ""e3d9cb36e5524aa6"", ""81bfd4bcfb858871"", ""8117048156b46fd3""]"
P100,Megasports.com Promotion,"Promotional emails from CBS SportsLine advertising Megasports.com's $1,000,000 prize and Daily Pick 4 contest.",87,"[""2671967a53e6a9ad"", ""d9548b7441f8ce0e"", ""0af85d566e4f3ac5"", ""3adcb341a32e440c"", ""a3a1643167d6e374""]"
P101,Blue Mountain eCards,The project monitors the receipt and forwarding of Blue Mountain greeting card notifications by Enron employees.,60,"[""e0e053e03283b5b2"", ""279366e42ca6cf85"", ""584ba0be985c6a4a"", ""302e432a664b3301"", ""1d02e96bd9671e21""]"
P102,Enron ClickAtHome,"Employee computer purchase program where Enron staff ordered Dell computers through the ClickAtHome initiative, including order confirmations, shipping updates, and delivery tracking.",55,"[""23e77644ae3c10fb"", ""6ad9efa372007451"", ""255b6ac94d5a991e"", ""9568a7beadb85fa1"", ""6426bd1332e4eb3e""]"
P103,Send4fun Email Campaign,A series of promotional emails sent to Enron employees featuring fun web pages and special offers from Send4fun and Flowgo.,86,"[""580be44042149ea2"", ""b56346d0dc7d36cb"", ""6d8b6a1948fac2b5"", ""42b11c3f10379ce0"", ""a67f34b8340d03c8""]"
P104,Telecom Promotions,A marketing campaign promoting free internet access and low-cost unlimited long-distance phone service.,217,"[""180b78310f9995e3"", ""0edbe4d44e9cf33e"", ""1ded16efe8fc179c"", ""5c74c63e6cddd33f"", ""1d5d93a29171fcba""]"
